timestamp,value,source_table,source_db
20250924T003934,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T003959,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T004024,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T004048,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T004113,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T004138,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T004203,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T004227,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T004252,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T004317,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T004342,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T004406,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T004432,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T004457,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T004521,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T004546,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T004611,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T004636,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T004700,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T004725,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T004750,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T004815,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T004839,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T004904,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T004929,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T004954,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T005018,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T005043,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T005108,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T005133,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T005158,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T005222,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T005247,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T005312,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T005337,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T005401,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T005426,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T005451,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
