timestamp,value,source_table,source_db
20250924T004018,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004043,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004108,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004133,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004158,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004222,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004247,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004312,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004337,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004402,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004426,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004452,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004516,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004541,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004606,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004631,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004656,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004720,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004745,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004809,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004834,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004859,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004924,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004949,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005014,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005038,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005103,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005128,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005153,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005217,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005242,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005307,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005332,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005356,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005421,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005446,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005511,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005535,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005600,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005625,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005650,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005715,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005739,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005804,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005829,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005854,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005919,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005943,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T010008,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T010033,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T172318,68.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T173035,67.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T173147,67.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T173212,67.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T173237,67.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T173301,67.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T173326,68.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T173351,68.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T173415,68.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T173440,68.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T173505,68.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T173529,68.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T173554,68.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T173618,68.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T173643,68.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T173708,68.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T173733,68.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T173758,68.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T173823,68.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T173847,67.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T173912,68.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T173937,68.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T174002,68.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T174026,68.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T174051,68.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T174116,68.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T174140,68.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T174205,68.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T174230,69.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T174254,69.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T174319,69.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T174344,69.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T174408,69.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T174433,69.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T174458,69.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T174523,69.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T174547,69.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T174612,69.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T174636,69.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T174701,69.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T174726,69.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T174750,69.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T174815,69.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T174840,69.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T174905,68.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T174929,68.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T174954,68.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T175019,67.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T175043,67.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T175108,66.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T175132,66.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T175157,66.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T175222,66.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T175246,65.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T175311,65.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T175335,65.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T175400,65.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T175425,65.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T175450,66.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T175514,66.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T175539,66.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T175604,66.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T175629,66.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T175653,66.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T175718,66.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T175743,67.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T175808,67.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T175832,67.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T175857,67.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T175923,67.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
