Tue Oct  8 17:54:58 2024 DEBUG [UTIL]: init_resource_tree
Tue Oct  8 17:54:58 2024 DEBUG [DB]: Call db_get_all_resource_as_rtnode
Tue Oct  8 17:54:58 2024 DEBUG [O2M]: Add Resource Tree Node [Parent-ID] : tinyiot, [Child-ID] : CAdmin
Tue Oct  8 17:54:58 2024 INFO  [HTTP]: Server started [92mhttp://127.0.0.1:3000[0m
Tue Oct  8 17:54:58 2024 INFO  [WEBSOCKET]: WebSocket Server(ws) started on port 8081
Tue Oct  8 17:54:58 2024 INFO  [COAP]: CoAP Setup Completed
Tue Oct  8 17:54:58 2024 INFO  [WEBSOCKET]: WebSocket Server (wss) started on port 8443
Tue Oct  8 17:54:59 2024 INFO  [MAIN]: Shutting down server...
Tue Oct  8 17:54:59 2024 INFO  [MAIN]: De-registrating cse...
Tue Oct  8 17:54:59 2024 INFO  [MAIN]: Closing DB...
Tue Oct  8 17:54:59 2024 INFO  [MAIN]: Cleaning ResourceTree...
Tue Oct  8 17:54:59 2024 INFO  [MAIN]: Done
