deviceWeightScaleAndBodyCompositionAnalyser,dWSAB
deviceWindowShade,deWSe
devId,devId
devType,devTe
diastolicPressure,diaPe
disable,disae
discharging,discg
dischargingAmpere,disAe
dischargingCapacity,disCy
dischargingVoltage,disVe
dishWasherJobMode,dWJMe
dismantled,dismd
dispenseStatus,disSs
displayInterval,disIl
displayOrder,disOr
displayOrientation,disOn
disposal,displ
disposalStatus,disS0
disseminator,dissr
dmAgent,dmAgt
dmAreaNwkDeviceInfo,dANDo
dmAreaNwkInfo,dANIo
dmCapability,dmCay
dmDataModelIO,dDMIO
dmDeviceInfo,dmDIo
dmEventLog,dmELg
dmFirmware,dmFie
dmPackage,dmPae
dmSoftware,dmSoe
dmStorage,dmSte
do,do
doorLock,dooLk
doorState,dooSe
doorStatus,dooSs
downChannel,dowCl
downVolume,dowVe
duration,dur
effective,effee
electricEnergy,eleEy
electricVehicleConnector,elVCr
emergencyHandler,emeHr
emergencyMode,emeMe
enable,enabe
enabled,enabd
end,end
energy,enery
energyConsumption,eneCn
energyGeneration,eneGn
estimatedTimeToEnd,eTTEd
eventCodes,eveCs
expires,expis
extraRinse,extRe
f,f
fakeStatus,fakSs
fat,fat
fatFreeMass,faFMs
faultDetection,fauDn
fe,fe
features,feats
fileSystem,filSm
filterInfo,filIo
filterLifetime,filLe
filterType,filTe
flexNode,fleNe
flexNodeLink,flNLk
flowInterval,floIl
foaming,foamg
foamingStrength,foaSh
forcedUnmounts,forUs
format,formt
frequency,freqy
fridgeTemperature,friTe
friendlyLocation,friLn
friendlyName,friNe
frozenTemperature,froTe
ftu,ftu
fwVersion,fweVn
galleryMode,galMe
gasChargingControl,gaCCl
gasMeterAlarm,gaMAm
gasMeterReportInfo,gMRIo
gaugeHeight,gauHt
generationSource,genSe
geoJSON,geoJN
geoLocation,geoLn
glucometer,glucr
grainsRemaining,graRg
green,green
grinder,grinr
hangup,hangp
hash,hash
hba1c,hba1c
heading,headg
headingAccuracy,heaAy
headingSensor,heaSr
heatingLevel,heaLl
heatingZone,heaZe
height,heigt
hg,hg
highFlowAlarm,hiFAm
highFlowAlarmThreshold,hFATd
highFlowDuration,hiFDn
highMagneticAlarm,hiMAm
highPressureAlarm,hiPAm
highPressureAlarmThreshold,hPATd
highTemperatureAlarm,hiTAm
highTemperatureAlarmThreshold,hTATd
highTemperatureInnerAlarmThreshold,hTIAT
historyStepCounts,hiSCs
horizontalAccuracy,horAy
horizontalDirection,horDn
hotWaterSupply,hoWSy
humidity,humiy
hwVersion,hweVn
identifier,idenr
impactDirectionHorizontal,imDHl
impactDirectionVertical,imDVl
impactLevel,impLl
impactSensor,impSr
impactStatus,impSs
impedance,impee
inorganicSaltMass,inSMs
impulseFault,impFt
incrementNumberValue,inNVe
infraredSensor,infSr
initialMagnetic,iniMc
innerErrorAlarm,inEAm
innerHighInternalTemperatureAlarm,iHITm
innerTemperatureSensorFault,iTSFt
install,instl
intensiveReportInterval,inRIl
intensiveReportStartTime,iRSTe
intensiveSampleInterval,inSIl
intervalFlow,intFw
jobModes,jobMs
jobStates,jobSs
kcal,kcal
keepWarm,keeWm
keyNumber,keyNr
keypad,keypd
kmno4,kmno4
lampTechnology,lamTy
largeFlowAlarm,laFAm
latitude,latie
leakageAlarm,leaAm
level,lvl
light,light
lightActivePower,liAPr
lightApparentPower,liAP0
lightCount,ligCt
lightCurrent,ligC0
lightDimmingValue,liDVe
lightPolarizationAxis,liPAs
lightPowerFactor,liPFr
lightReactivePower,liRPr
lightVoltage,ligVe
liquidLevel,liqLl
liquidRemaining,liqRg
locale,locae
localization,loca0
location,locan
lock,lock
lockedDownAlarm,loDAm
loginName,logNe
longitude,longe
loudness,louds
lowBattery,lowBy
lowCreditAlarm,loCAm
lowestFlowRate,loFRe
lowestFlowRateTime,lFRTe
lowestReverseFlowRate,lRFRe
lowestReverseFlowRateTime,lRFR0
lowFlowAlarm,loFAm
lowFlowAlarmThreshold,lFATd
lowFlowDuration,loFDn
lowGasAlarm,loGAm
lowPressureAlarm,loPAm
lowPressureAlarmThreshold,lPATd
lowTemperatureAlarm,loTAm
lowTemperatureAlarmThreshold,lTATd
lowVoltage,lowVe
lqi,lqi
machineStates,macSs
magneticDisturb,magDb
magneticInterference,magIe
magneticSensitivityLevel,maSLl
magneticSensorParameters,maSPs
manufacturer,manur
manufacturerDetailsLink,maDLk
manufacturingDate,manDe
mass,mass
material,matel
maxHeatingLevel,maHLl
maxLength,maxLh
maxLevel,maxLl
maxPressureThreshold,maPTd
maxSizeX,maxSX
maxSizeY,maxSY
maxSizeZ,maxSZ
maxSpeed,maxSd
maxValue,maxVe
meanPressure,meaPe
measuringScope,meaSe
mediaID,medID
mediaInput,medIt
mediaName,medNe
mediaOutput,medOt
mediaSelect,medSt
mediaType,medTe
memorySize,memSe
messageEncoding,mesEg
metadata,metaa
milkFoaming,milFg
milkQuantity,milQy
milkStatus,milSs
minimumCommunicationLatency,miCLy
minLength,minLh
minLevel,minLl
minPressureThreshold,miPTd
minSpeed,minSd
minValue,minVe
modality,moday
model,model
monitoringEnabled,monEd
motionSensor,motSr
mountingPoint,mouPt
mountOptions,mouOs
mounts,mouns
msgType,msgTe
multiFirmware,mulFe
multiplyingFactors,mulFs
muscle,musce
muscleMass,musMs
muteAudioVolume,muAVe
muteEnabled,mutEd
muteSmokeSensor,muSSr
name,name
needsReplacement,neeRt
negativeCumulativeFlow,neCFw
network,netwk
nextTrack,nexTk
nh3nh4,nh3n4
no2,no2
no3n,no3n
nodeLink,nodLk
noise,noise
numberValue,numVe
o3,o3
object,objet
objectType,objTe
odor,odor
oil,oil
onlineStatus,onlSs
onset,onset
open,open
openAlarm,opeAm
openDuration,opeDn
openLevel,opeLl
operationMode,opeMe
